id;receita_codigo;receita_descricao;receita_data_ocorrencia;receita_valor;dia;mes;ano;valor_mes;valor_ano;valor_receita_ano;valor_receita_mes;valor_consolidado_mes;valor_consolidado_ano;codigo_conta_contabil;descricao_conta_contabil;data_atualizacao;valor_jan;valor_fev;valor_mar;valor_abr;valor_mai;valor_jun;valor_jul;valor_ago;valor_set;valor_out;valor_nov;valor_dez
191805;741112043101040000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - ASPS;2011-01-01;1594644.69;1;1;2011;0.00;1594644.69;1594644.69;0.00;0.00;1594644.69;741112043101040000;IRRF - ATIVO/INATIVO-EXECUTIVO/INDIRETAS - ASPS;2016-05-06T09:20:59.597931;92863.98;237909.22;99443.22;99614.91;94388.98;103690.45;149732.98;113497.55;145111.51;124203.43;119333.28;214855.18
191806;741112043102010000;IRRF - ATIVO/INATIVO-LEGISLATIVO - PRÓPRIO;2011-01-01;311911.27;1;1;2011;0.00;311911.27;311911.27;0.00;0.00;311911.27;741112043102010000;IRRF - ATIVO/INATIVO-LEGISLATIVO - PRÓPRIO;2016-05-06T09:20:59.603874;0.00;23953.82;50305.10;5365.95;24476.42;24953.67;15693.27;50774.54;26698.94;27873.30;26708.68;35107.58
191807;741112043102010000;IRRF - ATIVO/INATIVO-LEGISLATIVO - PRÓPRIO;2013-01-01;473041.11;1;1;2013;0.00;473041.11;473041.11;0.00;0.00;473041.11;741112043102010000;IRRF - ATIVO/INATIVO-LEGISLATIVO - PRÓPRIO;2016-05-06T09:20:59.609310;45049.82;0.00;43841.00;82019.82;39137.43;40502.67;41690.32;41241.07;40380.84;41838.44;40912.49;16427.21
191808;741112043102010000;IRRF - ATIVO/INATIVO-LEGISLATIVO - PRÓPRIO;2010-01-01;189256.20;1;1;2010;0.00;189256.20;189256.20;0.00;0.00;189256.20;741112043102010000;IRRF - ATIVO/INATIVO-LEGISLATIVO - PRÓPRIO;2016-05-06T09:20:59.615188;17427.45;0.00;16523.78;17535.32;17598.94;17418.72;18031.68;16377.94;16717.16;17041.57;16139.77;18443.87
191809;741112043102010000;IRRF - ATIVO/INATIVO-LEGISLATIVO - PRÓPRIO;2012-01-01;362791.36;1;1;2012;0.00;362791.36;362791.36;0.00;0.00;362791.36;741112043102010000;IRRF - ATIVO/INATIVO-LEGISLATIVO - PRÓPRIO;2016-05-06T09:20:59.620693;32894.87;28712.42;28666.25;28332.95;29221.18;0.00;27226.07;27199.59;28302.89;57034.23;32017.22;43183.69
191810;741112043102010000;IRRF - ATIVO/INATIVO-LEGISLATIVO - PRÓPRIO;2014-01-01;516194.33;1;1;2014;0.00;516194.33;516194.33;0.00;0.00;516194.33;741112043102010000;IRRF - ATIVO/INATIVO-LEGISLATIVO - PRÓPRIO;2016-05-06T09:20:59.625729;86041.18;42307.42;64196.34;0.00;89099.65;45333.07;46565.10;1585.24;93541.53;0.00;47524.80;0.00
191811;741112043102020000;IRRF - ATIVO/INATIVO-LEGISLATIVO - MDE;2013-01-01;197100.49;1;1;2013;0.00;197100.49;197100.49;0.00;0.00;197100.49;741112043102020000;IRRF - ATIVO/INATIVO-LEGISLATIVO - MDE;2016-05-06T09:20:59.630732;18770.76;0.00;18267.09;34174.93;16307.26;16876.12;17370.97;17183.78;16825.35;17432.68;17046.87;6844.68
191812;741112043102020000;IRRF - ATIVO/INATIVO-LEGISLATIVO - MDE;2014-01-01;215080.99;1;1;2014;0.00;215080.99;215080.99;0.00;0.00;215080.99;741112043102020000;IRRF - ATIVO/INATIVO-LEGISLATIVO - MDE;2016-05-06T09:20:59.635742;35850.49;17628.10;26748.47;0.00;37124.86;18888.78;19402.13;660.52;38975.64;0.00;19802.00;0.00
191813;741112043102020000;IRRF - ATIVO/INATIVO-LEGISLATIVO - MDE;2010-01-01;78856.77;1;1;2010;0.00;78856.77;78856.77;0.00;0.00;78856.77;741112043102020000;IRRF - ATIVO/INATIVO-LEGISLATIVO - MDE;2016-05-06T09:20:59.641261;7261.44;0.00;6884.91;7306.38;7332.89;7257.80;7513.20;6824.14;6965.49;7100.66;6724.91;7684.95
191814;741112043102020000;IRRF - ATIVO/INATIVO-LEGISLATIVO - MDE;2011-01-01;129963.04;1;1;2011;0.00;129963.04;129963.04;0.00;0.00;129963.04;741112043102020000;IRRF - ATIVO/INATIVO-LEGISLATIVO - MDE;2016-05-06T09:20:59.874255;0.00;9980.76;20960.46;2235.81;10198.51;10397.36;6538.86;21156.06;11124.56;11613.88;11128.62;14628.16
